Task_ID,Priority,Wait_Time,Execution_Time,Created,Started,Ended
2,lo,N/A,0.2020,12:31:45.539976,12:31:45.539976,12:31:45.742007
6,hi,N/A,0.2433,12:31:45.541983,12:31:45.541983,12:31:45.785269
5,hi,0.0010,0.2743,12:31:45.540985,12:31:45.541983,12:31:45.816268
4,med,0.0010,0.2433,12:31:45.540985,12:31:45.541983,12:31:45.785269
1,hi,N/A,0.3385,12:31:45.539976,12:31:45.539976,12:31:45.878510
3,med,0.0010,0.3695,12:31:45.539976,12:31:45.540985,12:31:45.910510
9,hi,0.1980,0.2005,12:31:45.543984,12:31:45.742007,12:31:45.942517
27,hi,0.3980,0.2008,12:31:45.544492,12:31:45.942517,12:31:46.143279
11,hi,0.3035,0.2958,12:31:45.543984,12:31:45.847480,12:31:46.143279
16,hi,0.3186,0.3584,12:31:45.544492,12:31:45.863067,12:31:46.221479
15,hi,0.4125,0.2800,12:31:45.544492,12:31:45.957028,12:31:46.237000
24,hi,0.4435,0.2802,12:31:45.544492,12:31:45.988027,12:31:46.268200
17,hi,0.3980,0.4022,12:31:45.544492,12:31:45.942517,12:31:46.344717
23,hi,0.5988,0.2490,12:31:45.544492,12:31:46.143279,12:31:46.392234
30,hi,0.5978,0.2490,12:31:45.545498,12:31:46.143279,12:31:46.392234
37,hi,0.7382,0.2150,12:31:45.545498,12:31:46.283711,12:31:46.498748
33,hi,0.7842,0.2627,12:31:45.545498,12:31:46.329710,12:31:46.592421
49,hi,0.8917,0.2326,12:31:45.546499,12:31:46.438236,12:31:46.670853
46,hi,0.9072,0.2466,12:31:45.546499,12:31:46.453748,12:31:46.700398
43,hi,0.9532,0.2017,12:31:45.546499,12:31:46.499748,12:31:46.701405
42,hi,0.8617,0.3313,12:31:45.545498,12:31:46.407232,12:31:46.738486
40,hi,0.8777,0.3762,12:31:45.545498,12:31:46.423230,12:31:46.799435
29,med,1.1559,0.2374,12:31:45.544492,12:31:46.700398,12:31:46.937835
7,med,1.0494,0.3454,12:31:45.542982,12:31:46.592421,12:31:46.937835
34,med,1.1930,0.2615,12:31:45.545498,12:31:46.738486,12:31:46.999967
36,med,1.2539,0.2005,12:31:45.545498,12:31:46.799435,12:31:46.999967
18,med,1.1264,0.3291,12:31:45.544492,12:31:46.670853,12:31:46.999967
22,med,1.1569,0.3466,12:31:45.544492,12:31:46.701405,12:31:47.048002
48,med,1.4545,0.3131,12:31:45.546499,12:31:47.000968,12:31:47.314096
38,med,1.4545,0.3141,12:31:45.545498,12:31:46.999967,12:31:47.314096
41,med,1.4555,0.3596,12:31:45.545498,12:31:47.000968,12:31:47.360614
45,med,1.4700,0.2976,12:31:45.546499,12:31:47.016478,12:31:47.314096
47,med,1.5170,0.3101,12:31:45.546499,12:31:47.063512,12:31:47.373616
8,lo,1.5985,0.2321,12:31:45.542982,12:31:47.141520,12:31:47.373616
12,lo,1.8296,0.2223,12:31:45.543984,12:31:47.373616,12:31:47.595957
20,lo,1.8631,0.2655,12:31:45.544492,12:31:47.407617,12:31:47.673110
19,lo,1.9416,0.2315,12:31:45.544492,12:31:47.486130,12:31:47.717627
13,lo,1.8296,0.3440,12:31:45.543984,12:31:47.373616,12:31:47.717627
10,lo,1.8636,0.5102,12:31:45.543984,12:31:47.407617,12:31:47.917828
14,lo,1.8486,0.5452,12:31:45.543984,12:31:47.392615,12:31:47.937832
21,lo,2.1731,0.2522,12:31:45.544492,12:31:47.717627,12:31:47.969855
26,lo,2.1731,0.2682,12:31:45.544492,12:31:47.717627,12:31:47.985852
25,lo,2.1731,0.3457,12:31:45.544492,12:31:47.717627,12:31:48.063370
28,lo,2.1731,0.3142,12:31:45.544492,12:31:47.717627,12:31:48.031857
31,lo,2.4524,0.2011,12:31:45.545498,12:31:47.997852,12:31:48.198903
32,lo,2.4524,0.2504,12:31:45.545498,12:31:47.997852,12:31:48.248260
35,lo,2.5179,0.3313,12:31:45.545498,12:31:48.063370,12:31:48.394710
44,lo,2.6249,0.2276,12:31:45.546499,12:31:48.171412,12:31:48.398981
50,lo,2.6519,0.2017,12:31:45.546499,12:31:48.198376,12:31:48.400032
39,lo,2.5489,0.3451,12:31:45.545498,12:31:48.094371,12:31:48.439480
